dimeionsion-0	rich,0.98632953	docker,0.98667212	xtremio,0.98697527	want,0.98697661	deploi,0.98933633	vxrail,0.99327983	map,0.99492311	idea,0.99579239	expans,0.99591417	sector,0.99619978	recognit,0.99669266	mission,0.99670664	prior,0.99721713	see,0.99762322	modular,0.99765305	hide,0.99783559	confirm,0.99796402	atmo,0.99829135	acceler,0.99848843	emailxtend,0.99853854
dimeionsion-11	five,0.99115753	explor,0.99125909	sell,0.99141273	put,0.99146864	suggest,0.99203318	reliabl,0.99207741	progress,0.99216555	immedi,0.9923115	varieti,0.99239318	pacif,0.9928315	individu,0.99364983	identifi,0.9937758	who,0.99412832	don,0.99441534	traffic,0.9944948	coldfus,0.99450376	complet,0.99574729	each,0.99670409	instal,0.99742443	analyz,0.99801103
dimeionsion-12	fastest,0.99044785	scienc,0.9909381	retain,0.9919888	authent,0.99199523	schulz,0.99265711	webinar,0.99349722	save,0.99371541	offici,0.99374798	tape,0.99393922	consist,0.9941178	invent,0.99417916	vertic,0.9947468	minim,0.99529222	scalearc,0.99530655	dynamodbfast,0.99530655	press,0.99551539	mbridg,0.99610216	person,0.99751028	creat,0.9975812	built,0.99776324
dimeionsion-13	regardless,0.99278997	student,0.99287733	outsid,0.99294756	written,0.99299312	anoth,0.99328768	devop,0.99336211	youtub,0.99358979	never,0.99423327	everi,0.99428442	massiv,0.99513307	option,0.99576136	reader,0.99594697	enthusiast,0.99601135	thousand,0.99615812	fire,0.99622207	univa,0.99622761	cloudfrontglob,0.9963485	iotconnect,0.99705556	entir,0.99711751	intens,0.99842186
dimeionsion-14	subnet,0.97477847	byol,0.97544647	enterprisesenterpris,0.9754565	workmailsecur,0.9754565	servicemanag,0.9754565	mariadb,0.97546577	hardwar,0.97573618	bandwidth,0.97597083	spend,0.97665862	testimoni,0.9777421	easier,0.97785921	problem,0.97792034	introduct,0.97853431	add,0.98037344	static,0.98090574	than,0.98133753	grid,0.98232285	here,0.9830133	edg,0.98854345	engag,0.99040223
dimeionsion-15	subject,0.99557626	small,0.99582435	interest,0.99583685	should,0.99586798	perspect,0.99588428	hundr,0.99589945	extrem,0.99600824	transact,0.99606921	consolid,0.99607879	record,0.99617621	centerfind,0.99619555	inquiri,0.99626919	enabl,0.99632611	entri,0.9967342	intern,0.99682704	them,0.99718482	demand,0.99749903	sustain,0.99804839	imag,0.99810858	find,0.99823732
dimeionsion-16	scenario,0.99029637	proactiv,0.99036902	matter,0.99042889	accept,0.99051699	scaleout,0.99057858	genomicsaccess,0.99057858	repres,0.99061152	twelv,0.9907764	compet,0.99082845	coupl,0.99086023	evalu,0.99115117	video,0.99146994	rule,0.99155445	leav,0.9916103	comment,0.99243193	basic,0.99263294	latest,0.99305025	also,0.99571334	chang,0.99582582	meet,0.99596306
dimeionsion-17	incom,0.98845621	special,0.98860338	intuit,0.98863605	valuabl,0.98866689	section,0.98867033	public,0.98885129	healthcaredeliv,0.98906934	first,0.98933248	transit,0.98938592	backend,0.98979606	effort,0.99097201	readi,0.99110532	remov,0.99203044	wai,0.99339551	discuss,0.99358614	complex,0.99437544	regulatori,0.99544998	retent,0.99562083	plan,0.99629912	facebook,0.99756655
dimeionsion-18	had,0.99396546	facilit,0.99409408	silo,0.99411581	disk,0.99417946	beyond,0.99446982	under,0.99475121	author,0.99475845	plai,0.99477414	growth,0.99478596	begin,0.99515975	reach,0.99538544	compat,0.99565529	default,0.99570732	payment,0.99590302	languag,0.99621045	home,0.99685484	both,0.99707559	singl,0.99763777	anywher,0.99783383	qualifi,0.99887004
dimeionsion-19	cloudwatchmonitor,0.98685949	swfworkflow,0.98685949	great,0.98691605	virgin,0.98697357	upload,0.98721931	trac,0.98732653	kubernet,0.98747139	repositori,0.98792355	portugu,0.9883232	cach,0.98850529	kei,0.98952565	match,0.98980318	week,0.99035373	infocu,0.99120473	particip,0.99165773	saint,0.99200379	travel,0.99220726	opinion,0.99267527	convers,0.99372956	refer,0.99566866
dimeionsion-20	centric,0.99567601	futur,0.99570008	symmetrix,0.99573629	deploy,0.99579322	spice,0.99593521	modern,0.99598739	portfolio,0.9960755	down,0.99617406	locat,0.99619256	worldwid,0.99638189	optim,0.99642881	chocol,0.99657185	color,0.99681509	coordin,0.9969397	certif,0.99734169	git,0.9976585	nitrc,0.9977731	recoveryarch,0.9977731	advisoroptim,0.9977731	pace,0.99800573
dimeionsion-21	india,0.98043348	farm,0.98063812	abl,0.98139095	usernam,0.98164272	path,0.98179048	import,0.98309431	self,0.98479084	capit,0.98479287	exist,0.98578725	larg,0.98659592	advantag,0.98754387	ask,0.98800918	resili,0.98831586	shape,0.98885404	strength,0.9889006	hopkinton,0.98898902	take,0.98952199	part,0.99120863	island,0.99353878	log,0.99538734
dimeionsion-22	appl,0.99020167	instant,0.99025016	increment,0.99051721	index,0.99101657	frequent,0.99115778	version,0.99151697	wide,0.99162148	applianc,0.99281537	detail,0.99335402	head,0.99525553	steelstor,0.99637482	opsworksautom,0.99637482	zend,0.99637482	homepag,0.99670457	capac,0.99673441	javascript,0.9972296	track,0.99748545	grow,0.99761598	equal,0.99800527	latenc,0.99860706
dimeionsion-23	typic,0.9957681	advertis,0.99584099	cybercrim,0.99586841	commentari,0.99588554	arrai,0.99589301	expens,0.9960317	rate,0.99605242	job,0.99611079	model,0.99613447	oktoberfest,0.99630577	place,0.99634611	care,0.99646638	launch,0.99649619	node,0.99651015	differ,0.99678419	sampl,0.99699809	flexibl,0.99737876	monyog,0.99775443	simpledb,0.99776296	aurora,0.99783592
dimeionsion-24	citi,0.98677982	did,0.98756162	quick,0.9878054	signup,0.9882007	upon,0.98825022	plugin,0.98854714	endors,0.98886029	research,0.98911009	park,0.98931247	upgrad,0.98940714	state,0.99032203	enjoi,0.99092024	bonsai,0.99106248	jack,0.9910715	endpoint,0.99137788	mapreduc,0.99146975	manual,0.99368797	own,0.99403514	rest,0.99562465	some,0.99667959
dimeionsion-25	krueger,0.97940055	year,0.98113563	function,0.98153554	introduc,0.98196491	info,0.98224259	protocol,0.98225251	testinst,0.98352477	learningmachin,0.98352477	address,0.98403417	upfront,0.98490339	iam,0.98494936	employ,0.9850514	limit,0.98718804	everyth,0.98813318	over,0.98832641	dynam,0.98845474	amount,0.98851166	region,0.98918424	valid,0.99036243	forrest,0.99103552
dimeionsion-26	david,0.99129075	quantum,0.99136591	weekli,0.99151448	cover,0.99153939	itself,0.991576	quickstart,0.99159439	unstructur,0.99160087	signific,0.99173503	show,0.99241975	discov,0.99257181	graphic,0.99359374	codepipelin,0.99448573	preview,0.99459301	report,0.99608484	desktop,0.99678831	memori,0.99740135	standard,0.9975595	servicer,0.99788318	choos,0.99792059	fran,0.99813833
dimeionsion-27	underli,0.99043833	commit,0.99238482	focu,0.99307429	time,0.99359587	gartner,0.99483302	uad,0.99525319	quickli,0.99537429	client,0.99598336	citrix,0.99625865	chef,0.996579	nosql,0.99665205	beanstalkrun,0.99673268	cloudbeam,0.99673268	sqsmessag,0.99673268	applicationsbuild,0.99673268	oraclerun,0.99673268	english,0.9970434	volum,0.9981034	updat,0.99825145	allow,0.99828059
dimeionsion-28	might,0.99598276	even,0.99601508	essenti,0.99604813	knew,0.99612203	countri,0.99613308	refresh,0.99613893	avoid,0.99621112	trend,0.99622564	throughput,0.99630634	feder,0.99632209	sauc,0.99636886	increas,0.99643426	window,0.99643626	strongli,0.99646364	respons,0.996515	toolkit,0.99659055	social,0.99665561	cento,0.99666296	panzura,0.99689316	roast,0.99728033
dimeionsion-29	survei,0.9939533	nearli,0.99399746	beef,0.99411861	isi,0.99414419	wait,0.99416037	aug,0.99429049	profil,0.99435749	valu,0.99446215	religion,0.99451762	convert,0.99467795	viewer,0.99470035	bucket,0.99482592	grain,0.99503568	zone,0.99555822	sciencesservic,0.99568499	workdocssecur,0.99568499	exportlarg,0.99574486	watch,0.99609411	full,0.99658917	long,0.99701735
dimeionsion-30	rapidli,0.98743552	approach,0.9883395	maximum,0.98861544	encrypt,0.98913792	project,0.99186983	run,0.99203557	file,0.9920449	relev,0.99237271	famili,0.99291558	scaleio,0.99316403	xeon,0.99317469	vdi,0.99332336	refin,0.99346054	centera,0.99360525	improv,0.99456882	best,0.99505372	live,0.99564652	high,0.99848041	store,0.99852109	intellig,0.99915537
dimeionsion-31	target,0.99063473	seamlessli,0.99110882	fail,0.99126137	hubbuild,0.99183651	rubi,0.99190107	softna,0.99196194	size,0.99250408	transfer,0.99258279	auto,0.99279044	ibm,0.99320861	redefin,0.99330368	san,0.99370834	which,0.99383669	mainfram,0.99385274	object,0.99415748	easili,0.99473916	filter,0.99492444	faster,0.99529389	contact,0.99571124	fast,0.99600783
dimeionsion-32	terabyt,0.99609999	error,0.99613322	reason,0.9961347	love,0.99614822	turn,0.99616897	predict,0.99617093	sort,0.9961873	afford,0.9962483	prevent,0.9962573	flickr,0.99626911	exactli,0.99627338	celerra,0.99628335	glossari,0.99629473	issu,0.99688113	unit,0.99708226	servicescal,0.99715186	malt,0.99720234	gatewayintegr,0.99744085	competit,0.99746799	block,0.99754954
dimeionsion-33	posit,0.97987611	consid,0.97999884	branch,0.98147524	initi,0.98181898	magic,0.98336054	space,0.98338523	share,0.98426147	guinea,0.98462983	architect,0.9861158	multi,0.9867072	analysi,0.98746519	why,0.9898253	republ,0.991471	powerpath,0.99248511	infograph,0.99265762	xml,0.99297015	router,0.99338697	peopl,0.99475251	profession,0.99558465	innov,0.99670368
dimeionsion-34	recip,0.99548507	expect,0.99550578	menu,0.99571755	review,0.99573128	bodi,0.9958077	regard,0.99589466	stai,0.99590207	creativ,0.99613717	feedback,0.99623574	actual,0.99636287	whether,0.9964414	iop,0.99646421	possibl,0.99650696	physic,0.99677298	parallel,0.99686936	solutionsfind,0.99705411	rdsmanag,0.99705411	replic,0.99712268	blast,0.9974651	wordpress,0.99747239
dimeionsion-35	agreement,0.99619307	concern,0.99619822	been,0.99620296	peer,0.99626491	worker,0.99632125	greenplum,0.99640695	appet,0.99642112	laptop,0.99643967	thin,0.99647317	per,0.9965552	highlight,0.99658289	achiev,0.99660731	smoke,0.99660746	spring,0.99665585	night,0.99679537	end,0.99681406	characterist,0.99687206	link,0.99689145	while,0.99742878	registri,0.99746695
dimeionsion-36	gold,0.98408665	modifi,0.98412505	realli,0.9843568	front,0.98441163	primari,0.98448394	compon,0.98448876	exampl,0.98461809	attach,0.98488223	submit,0.98488773	vice,0.98491876	third,0.98514463	element,0.98603205	mapr,0.98627622	appstreamlow,0.98641763	quicksight,0.98648536	appli,0.98751175	speed,0.98844972	publish,0.98978225	mainten,0.99000938	copyright,0.99353055
dimeionsion-37	brunch,0.99561623	classic,0.9956303	until,0.99567021	constraint,0.9958453	setup,0.99587504	tour,0.99590931	octob,0.99593575	batch,0.99614039	delet,0.99620082	nobl,0.99621074	amber,0.99643573	simplifi,0.99685073	red,0.99688538	through,0.99697463	when,0.99708039	robust,0.9971538	partnerslearn,0.99718224	snapshot,0.9974228	forward,0.99747973	hire,0.99770629
dimeionsion-38	agre,0.99168376	ebsec,0.99170293	thingsquickli,0.99170293	purchas,0.99175272	still,0.99201633	behind,0.99211982	affili,0.99246296	notif,0.99250221	opt,0.99286689	lab,0.99288914	mark,0.99291365	jame,0.99303362	surveil,0.99318328	workflow,0.99321308	unleash,0.99331952	elimin,0.99435569	sourc,0.99500006	make,0.99545505	reserv,0.9967109	other,0.99756871
dimeionsion-39	mountain,0.99091562	across,0.99092829	queri,0.99101538	forth,0.99151984	recommend,0.99153099	rapid,0.99183082	grant,0.99188069	cloudformationcr,0.9918906	movabl,0.9918906	codecommitstor,0.9918906	total,0.99221758	accentur,0.9922823	later,0.9922847	known,0.99228984	lifecycl,0.99250832	senior,0.99262162	non,0.9932801	origin,0.9936863	structur,0.99586552	work,0.9972091
dimeionsion-40	python,0.98945458	modul,0.99042491	gener,0.99213324	practic,0.99220249	dedic,0.9926989	jersei,0.99275433	offer,0.99297742	note,0.99348269	tutori,0.99410575	code,0.99428307	popular,0.99441678	usa,0.99449986	durabl,0.99501251	bioperl,0.99505787	marketinghighli,0.99505787	storefront,0.99505787	stack,0.99536758	financi,0.99693688	set,0.99772615	top,0.99778644
dimeionsion-41	proxi,0.981591	statement,0.98160353	ongo,0.98162904	determin,0.98177935	west,0.98215495	hous,0.98225297	compar,0.98288857	eas,0.98344607	edit,0.98358126	destin,0.98420181	visibl,0.98478942	onc,0.98749214	bkcreativ,0.99010213	sai,0.99085445	registrystor,0.99225077	cloudtrailtrack,0.99226572	microsoftal,0.99226572	recoverystor,0.99226572	tightli,0.99345716	foundat,0.9950837
dimeionsion-42	univers,0.99647491	push,0.99650756	resid,0.99652716	mai,0.99657182	vxblock,0.99657721	whatev,0.9966068	cut,0.99664612	newsroom,0.9966832	where,0.99674566	sign,0.99686214	role,0.99697046	annual,0.99708322	ensur,0.99712831	hour,0.99714291	notic,0.99722577	action,0.99726257	ultim,0.99735627	marit,0.99749239	entertain,0.99755744	give,0.99760698
dimeionsion-43	stori,0.9874469	quicksightfast,0.98746161	codepipelinereleas,0.98754055	worldliv,0.98774998	failur,0.98785739	well,0.98797501	logo,0.98815372	jaspersoft,0.98858052	sheet,0.98859894	tower,0.98973559	disabl,0.98979581	clariion,0.9909377	site,0.99116853	releas,0.99138222	includ,0.99193635	capabl,0.99330014	price,0.99346641	case,0.99433161	get,0.99464203	privaci,0.99553263
dimeionsion-44	attribut,0.99597181	class,0.99598207	commiss,0.99599242	soon,0.99609765	form,0.99610803	mean,0.99611892	sent,0.99612693	investig,0.99613361	monthli,0.99615508	three,0.99615843	serv,0.99616385	pass,0.99618958	risk,0.99625805	ssd,0.99627687	level,0.99643125	layer,0.99645813	specifi,0.99657637	drupal,0.99781256	partnersfind,0.99807765	channel,0.99829415
dimeionsion-45	allianc,0.99585612	idc,0.99595791	etc,0.99599707	further,0.99601303	warranti,0.99604526	instead,0.9960996	territori,0.99613436	move,0.99640476	campaign,0.9964612	between,0.99658586	handl,0.9966403	effici,0.99668993	detect,0.99677701	qualiti,0.99749757	driven,0.99752658	linux,0.99774765	waffilt,0.99799206	portaldownload,0.99802985	fpsapi,0.99802985	turnkei,0.99827162
dimeionsion-46	master,0.99430187	exchang,0.99453787	todai,0.99464551	photographi,0.99473025	face,0.99492447	out,0.9950849	materi,0.995302	format,0.99551479	veri,0.99555107	architectur,0.99578621	android,0.99588889	faq,0.99596769	instanc,0.9964286	organ,0.99695861	within,0.99736799	onli,0.99747554	rss,0.9974994	vyatta,0.99830616	amimoto,0.99830616	retriev,0.99844939
dimeionsion-47	compliant,0.9880373	request,0.9886701	choic,0.98913855	effect,0.99373509	life,0.99401951	consult,0.99517962	avid,0.99526142	requir,0.99534218	area,0.9953767	without,0.99554426	continu,0.9966611	servicerun,0.99674869	twitter,0.99680368	econom,0.9977308	warehous,0.9978988	inspectoranalyz,0.99790592	mediamedia,0.99792878	servicehost,0.99792878	lower,0.99814837	send,0.99879639
dimeionsion-48	befor,0.97513306	tco,0.97607402	combin,0.97636596	against,0.97703294	decreas,0.97777909	copi,0.98107497	have,0.98243385	common,0.98388454	via,0.98584063	worri,0.9863124	minimum,0.986386	critic,0.98971149	task,0.98972239	distribut,0.9901453	connectded,0.99189913	networklearn,0.99189913	messag,0.9925813	page,0.99307879	multipl,0.99350494	benefit,0.99391145
dimeionsion-49	ticket,0.99218024	georgia,0.99218333	granular,0.99219468	monei,0.99246931	streamlin,0.99248782	appropri,0.99250139	text,0.99271134	familiar,0.9929144	failov,0.99331115	point,0.99359461	director,0.99453565	archiv,0.99544872	pre,0.99663464	return,0.99704854	kinesiswork,0.99757294	consoleweb,0.99765438	vantag,0.99765438	build,0.99778834	directori,0.99861308	thing,0.99887508
